file,line,level,reason,location,category,section_type,justification
MotivicGeometrization.tex,767,WKL,"Scholze, Lectures on Analytic Geometry (Tychonoff gates)",Geometric Satake,C,proof,Structural dependency on condensed mathematics infrastructure in proof section
MotivicGeometrization.tex,769,WLPO,normed completion (Cauchy convergence test),Geometric Satake,B,proof,Banach ring formalism carried through Geometric Satake; parasitic
MotivicGeometrization.tex,771,WLPO,normed completion (Cauchy convergence test),Geometric Satake,B,proof,Banach ring formalism carried through Geometric Satake; parasitic
MotivicGeometrization.tex,780,WLPO,normed completion (Cauchy convergence test),Geometric Satake,B,proof,Banach ring formalism carried through Geometric Satake; parasitic
MotivicGeometrization.tex,780,BISH,Tate twist (algebraic),Geometric Satake,BISH,proof,Genuine algebraic marker; Tate twist is BISH
MotivicGeometrization.tex,790,WLPO,normed completion (Cauchy convergence test),Synopsis,B,proof,Banach ring formalism carried through Synopsis; parasitic
MotivicGeometrization.tex,792,WLPO,normed completion (Cauchy convergence test),Synopsis,B,proof,Banach ring formalism carried through Synopsis; parasitic
MotivicGeometrization.tex,800,WLPO,normed completion (Cauchy convergence test),Synopsis,B,proof,Banach ring formalism carried through Synopsis; parasitic
MotivicGeometrization.tex,805,WLPO,normed completion (Cauchy convergence test),Synopsis,B,proof,Banach ring formalism carried through Synopsis; parasitic
MotivicGeometrization.tex,818,WLPO,normed completion (Cauchy convergence test),Synopsis,B,proof,Banach ring formalism carried through Synopsis; parasitic
MotivicGeometrization.tex,834,WLPO,normed completion (Cauchy convergence test),Synopsis,B,proof,Banach ring formalism carried through Synopsis; parasitic
MotivicGeometrization.tex,874,WLPO,normed completion (Cauchy convergence test),Synopsis,B,proof,Banach ring formalism carried through Synopsis; parasitic
MotivicGeometrization.tex,874,BISH,Tate twist (algebraic),Synopsis,BISH,proof,Genuine algebraic marker; Tate twist is BISH
MotivicGeometrization.tex,874,WKL,"Scholze, Lectures on Analytic Geometry (Tychonoff gates)",Synopsis,C,proof,Structural dependency on condensed mathematics infrastructure in proof section
MotivicGeometrization.tex,874,WKL,"Scholze, Lectures on Analytic Geometry (Tychonoff gates)",Synopsis,C,proof,Structural dependency on condensed mathematics infrastructure in proof section
